val_loss,epoch,step,lr-Adam,train_loss
9.69221305847168,19,82759,,
,,82799,0.00012794387518366717,
,20,82799,,4.946396350860596
,,82849,0.00012794387518366717,
,20,82849,,5.495822906494141
,,82899,0.00012794387518366717,
,20,82899,,5.598934173583984
,,82949,0.00012794387518366717,
,20,82949,,4.012788772583008
,,82999,0.00012794387518366717,
,20,82999,,3.5777649879455566
,,83049,0.00012794387518366717,
,20,83049,,4.3586835861206055
,,83099,0.00012794387518366717,
,20,83099,,7.100680351257324
,,83149,0.00012794387518366717,
,20,83149,,4.756076812744141
,,83199,0.00012794387518366717,
,20,83199,,4.801945686340332
,,83249,0.00012794387518366717,
,20,83249,,3.9978649616241455
,,83299,0.00012794387518366717,
,20,83299,,6.700943946838379
,,83349,0.00012794387518366717,
,20,83349,,5.360531806945801
,,83399,0.00012794387518366717,
,20,83399,,7.294717788696289
,,83449,0.00012794387518366717,
,20,83449,,6.240927696228027
,,83499,0.00012794387518366717,
,20,83499,,4.520088195800781
,,83549,0.00012794387518366717,
,20,83549,,6.834046363830566
,,83599,0.00012794387518366717,
,20,83599,,3.834376335144043
,,83649,0.00012794387518366717,
,20,83649,,4.684111595153809
,,83699,0.00012794387518366717,
,20,83699,,5.5934038162231445
,,83749,0.00012794387518366717,
,20,83749,,6.2985734939575195
,,83799,0.00012794387518366717,
,20,83799,,4.8733038902282715
,,83849,0.00012794387518366717,
,20,83849,,5.3496928215026855
,,83899,0.00012794387518366717,
,20,83899,,9.91384506225586
,,83949,0.00012794387518366717,
,20,83949,,4.970792770385742
,,83999,0.00012794387518366717,
,20,83999,,7.76458215713501
,,84049,0.00012794387518366717,
,20,84049,,5.8293867111206055
,,84099,0.00012794387518366717,
,20,84099,,5.337840557098389
,,84149,0.00012794387518366717,
,20,84149,,6.248023986816406
,,84199,0.00012794387518366717,
,20,84199,,5.343966960906982
,,84249,0.00012794387518366717,
,20,84249,,5.635543346405029
,,84299,0.00012794387518366717,
,20,84299,,4.265130043029785
,,84349,0.00012794387518366717,
,20,84349,,4.926288604736328
,,84399,0.00012794387518366717,
,20,84399,,7.129591941833496
,,84449,0.00012794387518366717,
,20,84449,,6.296902656555176
,,84499,0.00012794387518366717,
,20,84499,,4.649164199829102
,,84549,0.00012794387518366717,
,20,84549,,5.8697028160095215
,,84599,0.00012794387518366717,
,20,84599,,5.851456642150879
,,84649,0.00012794387518366717,
,20,84649,,4.6352620124816895
,,84699,0.00012794387518366717,
,20,84699,,5.122490882873535
,,84749,0.00012794387518366717,
,20,84749,,6.241841793060303
,,84799,0.00012794387518366717,
,20,84799,,6.06871223449707
,,84849,0.00012794387518366717,
,20,84849,,4.4365925788879395
,,84899,0.00012794387518366717,
,20,84899,,6.361700057983398
,,84949,0.00012794387518366717,
,20,84949,,5.960628509521484
,,84999,0.00012794387518366717,
,20,84999,,6.017127990722656
,,85049,0.00012794387518366717,
,20,85049,,4.084517478942871
,,85099,0.00012794387518366717,
,20,85099,,5.795839786529541
,,85149,0.00012794387518366717,
,20,85149,,2.8017654418945312
,,85199,0.00012794387518366717,
,20,85199,,4.9942755699157715
,,85249,0.00012794387518366717,
,20,85249,,5.7050371170043945
,,85299,0.00012794387518366717,
,20,85299,,4.410637855529785
,,85349,0.00012794387518366717,
,20,85349,,6.114962577819824
,,85399,0.00012794387518366717,
,20,85399,,5.243437767028809
,,85449,0.00012794387518366717,
,20,85449,,4.938899993896484
,,85499,0.00012794387518366717,
,20,85499,,3.8839075565338135
,,85549,0.00012794387518366717,
,20,85549,,4.442870140075684
,,85599,0.00012794387518366717,
,20,85599,,5.730952739715576
,,85649,0.00012794387518366717,
,20,85649,,5.167207717895508
,,85699,0.00012794387518366717,
,20,85699,,4.9149370193481445
,,85749,0.00012794387518366717,
,20,85749,,6.409878730773926
,,85799,0.00012794387518366717,
,20,85799,,5.297276496887207
,,85849,0.00012794387518366717,
,20,85849,,5.246772766113281
,,85899,0.00012794387518366717,
,20,85899,,6.449872970581055
,,85949,0.00012794387518366717,
,20,85949,,4.844267845153809
,,85999,0.00012794387518366717,
,20,85999,,4.080467224121094
,,86049,0.00012794387518366717,
,20,86049,,5.281222343444824
,,86099,0.00012794387518366717,
,20,86099,,4.803872585296631
,,86149,0.00012794387518366717,
,20,86149,,6.212155342102051
,,86199,0.00012794387518366717,
,20,86199,,4.888054847717285
,,86249,0.00012794387518366717,
,20,86249,,5.367711544036865
,,86299,0.00012794387518366717,
,20,86299,,5.785680770874023
,,86349,0.00012794387518366717,
,20,86349,,6.9989118576049805
,,86399,0.00012794387518366717,
,20,86399,,5.355913162231445
,,86449,0.00012794387518366717,
,20,86449,,5.451598167419434
,,86499,0.00012794387518366717,
,20,86499,,4.741024494171143
,,86549,0.00012794387518366717,
,20,86549,,5.076549530029297
,,86599,0.00012794387518366717,
,20,86599,,7.081514358520508
,,86649,0.00012794387518366717,
,20,86649,,5.794439315795898
,,86699,0.00012794387518366717,
,20,86699,,5.766624927520752
,,86749,0.00012794387518366717,
,20,86749,,6.286866188049316
,,86799,0.00012794387518366717,
,20,86799,,4.694643974304199
